,Dimension,Error
0,2.6800701823339015,0.028974108155568126
1,2.699492283500384,0.025584011684689406
2,2.6756132474897036,0.02725626975135818
3,2.6257350149406586,0.0352090399612496
4,2.2571605138754105,0.10447648230737183
5,2.7520629459513364,0.024911356667899183
6,2.7882536268725264,0.0297377494889547
7,2.538918483661903,0.02828454811421429
8,2.654613912429216,0.029916569650179664
9,2.7661566313193506,0.02375992144600329
10,2.7844283761572375,0.023481732716549714
11,2.700593719918614,0.02783095503600423
12,2.769708429727873,0.02326902990621947
13,2.7832991697043914,0.02903768353337519
14,2.6212500340939338,0.048609190579198054
15,2.7135011717073474,0.022290001517980797
16,2.677143638669734,0.027475413671936847
17,2.76592308757167,0.027345965224939695
18,2.757849962640793,0.02969280936374986
19,2.565114288423292,0.02992534546307175
20,2.7561485112758617,0.02733318030955043
21,2.534377801268348,0.035390857630145885
22,2.68123609875222,0.02583702284338831
23,2.769933458351165,0.023973982086012424
24,2.6824784145485903,0.022107500489588965
25,2.724998073128641,0.02806667602819156
26,2.525722241774959,0.028372326339222615
27,2.754484948173054,0.0261285018016351
28,2.735811521802984,0.024835944115382685
29,2.72630296933031,0.024964724278351922
30,2.6846445118674107,0.026302420243259107
31,2.7411630435206247,0.027951264998523056
32,2.2851137672631294,0.09827931406199839
33,2.624524391966307,0.021159785198373405
34,2.2104267545453893,0.09729724999423839
35,2.741960037055106,0.02482517116379207
36,2.5267349478418604,0.03340068547498052
37,2.721765452737124,0.024968837470010753
38,2.667852443260525,0.026925817891785338
39,2.5898629390216876,0.0313350690024008
40,2.5738519690823995,0.026286253883716946
41,2.717223365127225,0.025245430924092198
42,2.7716008479482355,0.02798290706775321
43,2.7825286968913017,0.022545955764497243
44,2.7041451872383524,0.030956748202980514
45,2.7898061472294318,0.0255827711649284
46,2.7233015845220683,0.02844961279328199
47,2.77839196760021,0.02732854851967485
48,2.7329674523470193,0.027418381608841046
49,2.6555160992560523,0.028460474501772526
50,2.583773497706909,0.028036873670693695
51,2.6772745778942992,0.02880232102210061
52,2.7540980612233965,0.02701419622392824
53,2.7761852909121414,0.032927401193816576
54,2.643655036679976,0.030517810867168305
55,2.7503042534669198,0.023288558427100474
56,2.6769998634594954,0.034515971748973605
57,2.780541190670804,0.028612568806380093
